google_place_id,review_id,rating,content,posted_on,reviewed_at,translated_content,translated_language,response_content,responded_on,full_address,street,row_id,created_by,created_on,last_updated_by,updated_on,is_deleted
ChIJ0bII6kvOXBgRJe_jDSkSS2A,Ci9DQUlRQUNvZENodHljRjlvT25aM2VYZDBVVmhyYTI4eVdYUlllakpvTlROVFlVRRAB,4.00,,2026-02-17 05:30:00+05:30,7 months ago,,,,,"Bawe Beach, Tanzania",,1,APPLICATION,2026-09-15 23:56:11.205136+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,Ci9DQUlRQUNvZENodHljRjlvT2w5V1duZzNkblpMYTNWUFJXTlRlbUZyT1Y5ck5XYxAB,5.00,,2026-01-18 05:30:00+05:30,8 months ago,,,,,"Bawe Beach, Tanzania",,2,APPLICATION,2026-09-15 23:56:28.205739+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,Ci9DQUlRQUNvZENodHljRjlvT2kxSVltSkpkblJ4YVhOcFpYazJNWE5TUTBsM1pIYxAB,3.00,,2025-09-15 05:30:00+05:30,a year ago,,,,,"Bawe Beach, Tanzania",,3,APPLICATION,2026-09-15 23:56:28.211143+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,Ci9DQUlRQUNvZENodHljRjlvT2xodFYyZHFkRXBQYlhseVNGWTBOMUJhTVVOelVuYxAB,5.00,"If you dont stay on the isand as a hote guest, you cant access the island itself. But we went with our boat and skipper (found at Stone Town pier) and went first to Nakupenda sandbank for snorkling and  lunch (Seafood BBQ) and afterwards he took us around Bawe Island to do another snorkling tour at the riffs there. It was lovely, we were the only people in the water, the riffs are bigger than at Nakumpenda.",2025-09-15 05:30:00+05:30,a year ago,,,,,"Bawe Beach, Tanzania",,4,APPLICATION,2026-09-15 23:56:28.217341+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChZDSUhNMG9nS0VJQ0FnTUN3bk1qbUF3EAE,5.00,,2025-09-15 05:30:00+05:30,a year ago,,,,,"Bawe Beach, Tanzania",,5,APPLICATION,2026-09-15 23:56:28.225876+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChdDSUhNMG9nS0VJQ0FnTURROF83ZnV3RRAB,5.00,,2025-09-15 05:30:00+05:30,a year ago,,,,,"Bawe Beach, Tanzania",,6,APPLICATION,2026-09-15 23:56:28.234175+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChZDSUhNMG9nS0VJQ0FnSURfNl9mY1N3EAE,5.00,Ein schöner Ort 🏝️,2025-01-27 05:30:00+05:30,a year ago,A beautiful place 🏝️,en,,,"Bawe Beach, Tanzania",,7,APPLICATION,2026-09-15 23:56:28.247058+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChdDSUhNMG9nS0VJQ0FnSURIcGJ2aXFBRRAB,5.00,,2025-09-15 05:30:00+05:30,a year ago,,,,,"Bawe Beach, Tanzania",,8,APPLICATION,2026-09-15 23:56:28.254235+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChZDSUhNMG9nS0VJQ0FnSURieEtDWEt3EAE,4.00,,2024-09-15 05:30:00+05:30,2 years ago,,,,,"Bawe Beach, Tanzania",,9,APPLICATION,2026-09-15 23:56:28.259049+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChZDSUhNMG9nS0VJQ0FnSUNMNnRLSFNnEAE,4.00,,2024-09-15 05:30:00+05:30,2 years ago,,,,,"Bawe Beach, Tanzania",,10,APPLICATION,2026-09-15 23:56:28.263725+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChdDSUhNMG9nS0VJQ0FnSUREMEp5V2p3RRAB,5.00,"Air laut yang bersih dan jernih....
Semoga bisa dijaga...
Tempat terbaik untuk memancing",2024-09-15 05:30:00+05:30,2 years ago,"Clean and clear sea water...
Hopefully it can be maintained...
The best place for fishing",en,,,"Bawe Beach, Tanzania",,11,APPLICATION,2026-09-15 23:56:28.268165+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChdDSUhNMG9nS0VJQ0FnSUNEeWQ3N19BRRAB,5.00,wonderful place,2024-09-15 05:30:00+05:30,2 years ago,,,,,"Bawe Beach, Tanzania",,12,APPLICATION,2026-09-15 23:56:28.272325+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChZDSUhNMG9nS0VJQ0FnSUNEX3VxR0ZREAE,5.00,Bawe beach kaplumbağa adası doğal tarihi bir ada,2024-03-28 05:30:00+05:30,2 years ago,Bawe Beach Turtle Island is a natural and historical island.,en,,,"Bawe Beach, Tanzania",,13,APPLICATION,2026-09-15 23:56:28.276618+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChdDSUhNMG9nS0VJQ0FnSUNWb3BxNm13RRAB,5.00,Toto bola jedna z najkrajších pláží s tirkysovou vodou ale som videl,2024-09-15 05:30:00+05:30,2 years ago,This was one of the most beautiful beaches with turquoise water I&#39;ve seen,en,,,"Bawe Beach, Tanzania",,14,APPLICATION,2026-09-15 23:56:28.281356+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChZDSUhNMG9nS0VJQ0FnSUNaaU5fUVl3EAE,5.00,,2023-09-16 05:30:00+05:30,3 years ago,,,,,"Bawe Beach, Tanzania",,15,APPLICATION,2026-09-15 23:56:28.286019+05:30,,,f
ChIJ0bII6kvOXBgRJe_jDSkSS2A,ChZDSUhNMG9nS0VJQ0FnSURKNElMT0RBEAE,5.00,,2023-09-16 05:30:00+05:30,3 years ago,,,,,"Bawe Beach, Tanzania",,16,APPLICATION,2026-09-15 23:56:28.29045+05:30,,,f
